trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-78.74246407995486,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-40.36286228272128,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-189.6745290960637,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-77.99561805265913,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-49.40542278220061,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-101.57636556821224,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-55.89810536935622,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-96.70766997361521,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,6.614018474153983,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-23.757897633936317,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-60.92161911875445,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-49.887972569169996,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-38.18575591965714,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-43.89498535988539,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-17.158813850609782,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-29.57623629107197,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,1,11.704738570076772,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,25.278773790293698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,5,-29.212269235258116,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,29.98534162825422,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,0,22.260895014674755,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-26.757255327040657,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,15,17.294453477674352,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,10,23.46836789653112,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,10,14.975027216029087,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,41.535578737193745,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,18,16.232730573892454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-30.780591342575075,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,18,10.141861721426615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,9,23.317289922918896,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
