trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.64904493553576,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.78658770065778,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.30539737655064,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.25917219367128,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.68694859430582,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,12,-47.60485586480338,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.93211762719365,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.49349317854565,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.4561043021416,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-136.3685223616553,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-61.145417938336664,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.94460135854362,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-146.35085188798638,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.6329358592813,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.55948297747557,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.65750790602928,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.8335724897194,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.6889223461771,"{0: 17, 1: 0, 2: 10, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.82901777314649,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.340619014872,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.64811599288578,"{0: 14, 1: 3, 2: 11, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",20,3,-59.53255644699701,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.508484511146435,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.2340261330529,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.085069061228,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.80414749168904,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.37326862251706,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.96606290700288,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.214537112471874,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.72586500641052,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",35,0,-158.26574926234937,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 1.0}",25,0,-37.61176932459405,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.06848765081762,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.55210871543464,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 1.0}",30,17,-77.43450154717236,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.38678548885065,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 1.0}",35,16,-61.10633885522075,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 1.0}",30,7,-28.147950112078345,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.03921554846346,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.4097851847044,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.551689874406456,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.02112802027133,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 1.0}",25,0,-272.40699302098005,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
44,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.19545347271142,"{0: 19, 1: 5, 2: 8, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.457842829827086,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",30,4,-84.41569947961929,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.82567242544397,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.88817638436285,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 1.0}",35,2,-118.97674834735547,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.92278934136425,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.87281045906414,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 1.0}",25,0,-259.8325493597445,"{0: 10, 1: 2, 2: 6, 3: 4, 4: 3}",0
53,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.14941275405175,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.46062364522928,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.6330876853698,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.90855712441078,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.81654343416653,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
58,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.0866674727779,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.73742072165552,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.189942009471,"{0: 15, 1: 5, 2: 5, 3: 4, 4: 1}",0
61,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.94158470628837,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.23268715061477,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 1.0}",20,0,-202.6446431837003,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
64,False,"{'a': 0.5, 'e': 1.0}",25,10,-122.17871909592824,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 3}",1
65,False,"{'a': 0.5, 'e': 1.0}",20,3,-101.71302027033536,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.15402816910671,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.70123910290184,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.77611017268577,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.62451760035862,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 1.0}",35,0,-158.8360168282245,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.57676317694478,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.32144452079493,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.40925125661744,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
74,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.7665258090691,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
75,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.5694180255226,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
76,False,"{'a': 0.5, 'e': 1.0}",20,7,-115.5818483753039,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 2}",1
77,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.4370044711984,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.06074410889576,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.46805261091342,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.25313126462615,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.849834661886945,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.29157508991725,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.86746482952555,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 1.0}",20,0,-202.73631802147085,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
85,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.6008216219561,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.0387597428144,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.48764246857033,"{0: 11, 1: 2, 2: 9, 3: 3, 4: 0}",0
88,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.03948458226022,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
89,False,"{'a': 0.5, 'e': 1.0}",25,6,-80.23089559193548,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.7029128159661,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.01666894592046,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 1.0}",20,7,-24.5070761210181,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.40556437075182,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.5961149782968,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
95,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.39092477980755,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.00837155864826,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
97,False,"{'a': 0.5, 'e': 1.0}",35,0,-117.00680448082987,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
98,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.080827212361726,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.80426960558076,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.94738168434925,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
