trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.65585633030292,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.16179963749485,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.79204834307187,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.22866164197114,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.2123904674881,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.61838133461536,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.33866316734122,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,14,10.055267033615806,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.99258600091574,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.44534557677719,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.06301155437635,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.48966238893223,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.87639181693886,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.52753631977973,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.01990731276608,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.18895432073163,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.93781304006093,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.7906118424979,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.38880279366685,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-30.77656798416264,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-68.79670537350944,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-114.98344107255498,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-224.85034229216737,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-107.10787606380647,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-121.38327922783955,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-64.4062612348115,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-89.9287827442345,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-124.38297841998533,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-38.68204698635136,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-136.2219018386335,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
